2021,38672
2020,38590
2019,39279
2018,39039
2017,39615
2016,41251
2015,42185
2014,42232
2013,39720
2012,42663
2011,39654
2010,37967
2009,39570
2008,39826
2007,39490
2006,38317
2005,37492
2004,37174
2003,37485
2002,40760
2001,41451
2000,46997
1999,43336
1998,43664
1997,47333
1996,48577
1995,48635
1994,49554
1993,50225
1992,49402
1991,49114
1990,51142
1989,47669
1988,52957
1987,43616
1986,38379
1985,42484
1984,41556
1983,40585
1982,42654
1981,42250
1980,41217
1979,40779
1978,39441
1977,38364
1976,42783
1975,39948
1974,43268
1973,48269
1972,49678
1971,47088
1970,45934
1969,44562
1968,47241
1967,50560
1966,54680
1965,55725
1964,58217
1963,59530
1962,58977
1961,59930
1960,61775
